,alpha,subset,alpha_sim,alpha_sep,alpha_sim_err,alpha_sep_err,beta,beta_sim,beta_sep,beta_sim_err,beta_sep_err,gamma,gamma_sim,gamma_sep,gamma_sim_err,gamma_sep_err,sig_int,sig_int_sim,sig_int_sep,sig_int_sim_err,sig_int_sep_err
0,0.06,lowz,0.060000000001881444,0.06937716681470109,6.938893903907228e-18,1.3877787807814457e-17,3.0,2.9999999999772746,3.060841207565863,4.440892098500626e-16,0.0,-0.1,-0.09999999999952536,-0.04820201161953591,0.0,0.0,0.0,2.7557711320537006e-12,0.018957072088548018,4.0389678347315804e-28,3.469446951953614e-18
1,0.06,DES,0.05999994280218211,0.08572633652235762,6.938893903907228e-18,0.0,3.0,3.0000014853552663,2.946023514540903,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.09999988801490221,-0.07676026363245952,1.3877787807814457e-17,0.0,0.0,1.6570763103039046e-07,0.021070155412282902,2.6469779601696886e-23,3.469446951953614e-18
2,0.06,PS1,0.060000000000255155,0.07219288394821088,6.938893903907228e-18,0.0,3.0,3.000000000001121,2.945283392661723,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.09999999999967157,-0.0899724449942445,1.3877787807814457e-17,0.0,0.0,2.6601829276884554e-13,0.011605357623853296,0.0,0.0
3,0.06,SDSS,0.059999999999809164,0.07010696856856574,6.938893903907228e-18,1.3877787807814457e-17,3.0,3.000000000004421,2.9891273601450665,8.881784197001252e-16,4.440892098500626e-16,-0.1,-0.10000000000001297,-0.08076212372272579,0.0,0.0,0.0,3.8762913843687125e-13,0.011668176061820603,1.0097419586828951e-28,1.734723475976807e-18
4,0.06,SNLS,0.059999999999996396,0.07780516418354773,6.938893903907228e-18,0.0,3.0,2.999999999998175,2.950337896379711,0.0,4.440892098500626e-16,-0.1,-0.09999999999976124,-0.0877017691646654,1.3877787807814457e-17,0.0,0.0,1.8855835947576553e-13,0.015247445891949611,2.524354896707238e-29,1.734723475976807e-18
5,0.06,lowz,0.05996417729640312,0.06938635802766274,0.000895214123283148,0.0008546282118025328,3.0,3.0009911225993706,3.0621243907747724,0.011520852041365333,0.011426500601115993,-0.1,-0.10048003749422431,-0.048433399348523205,0.002745104400221298,0.0013231955422715208,0.01,0.010036296468769352,0.021539887836356023,0.0006637229039715772,0.0005485476915776259
6,0.06,DES,0.06001668288251067,0.08574222914662011,0.0008481044475055151,0.0006602592132825395,3.0,2.9998533401290848,2.9458771473181637,0.008041881404191336,0.008211084941400881,-0.1,-0.09999659388333543,-0.07675773505212381,0.001830116724732177,0.00140480236993285,0.01,0.009812150790967217,0.02324509915834184,0.0004065711823329592,0.0004241027578771386
7,0.06,PS1,0.06000132789784256,0.0721830805506623,0.0007685279788762144,0.0007387219092293068,3.0,3.0000070002482087,2.945340345549225,0.006121963033224022,0.0061769730190562805,-0.1,-0.0999087066243781,-0.08989030611199865,0.0011015397858419854,0.0009910822778592893,0.01,0.010119103692475491,0.015392252755689723,0.0003712030224335611,0.0002597515785313895
8,0.06,SDSS,0.059946697829672387,0.0700501559232472,0.0007446394013454029,0.0007238232102939362,3.0,2.9989060076408007,2.9880371442026883,0.007679558907316514,0.0076519462400798976,-0.1,-0.09996526678634572,-0.08073407244168526,0.001273559264302219,0.0010285535087421272,0.01,0.00989799986760086,0.015301605637479822,0.0004113232818291719,0.0002725958090081798
9,0.06,SNLS,0.06009948533261496,0.07789053056881962,0.0009306330717472131,0.000829394103552242,3.0,2.9989856167008297,2.9493628936048917,0.00838392700663439,0.00835317143779914,-0.1,-0.09992070307686948,-0.08763222436025662,0.0014536078890840746,0.0012748398354245239,0.01,0.009848551418530143,0.018145891024977056,0.00048274050289142246,0.00034469104013995825
10,0.06,lowz,0.060472370479925264,0.06983208705097671,0.001823251959467169,0.0017633849319521042,3.0,3.0012260735417184,3.0619540599289503,0.020768794129023212,0.0197504473081774,-0.1,-0.09981390707975198,-0.04811231108853554,0.004751038781422707,0.0022900962655458294,0.02,0.019546460587992684,0.02722337702397139,0.0011502398534115374,0.001058490186757459
11,0.06,DES,0.06013844816957723,0.08585441217898733,0.0016757397359752914,0.001524530520087506,3.0,2.998910864728685,2.9449547761236694,0.017813208822910098,0.017883948033527435,-0.1,-0.0999593469235407,-0.07672914421275195,0.003236201895429513,0.002484117024861294,0.02,0.01991736641350236,0.029004651324937666,0.0011204746939980123,0.0008623556085280892
12,0.06,PS1,0.05987687600383975,0.07206916030792564,0.0013181573650363511,0.001311816722039056,3.0,3.0042995823293626,2.9495856659467963,0.014224185425874118,0.014384327932669833,-0.1,-0.0999950820149477,-0.08996802016260308,0.0027427036554414056,0.002467677537746018,0.02,0.019835507518653765,0.022987263474928105,0.0009177901895317813,0.0008048657852909568
13,0.06,SDSS,0.05993196540525681,0.07001071417988629,0.0011170179936291946,0.001092007215756499,3.0,2.9979181538200383,2.9870758716017174,0.015424427584369403,0.015377767802431233,-0.1,-0.09972078874418333,-0.08053662678286397,0.0026479978278051383,0.002138579281889155,0.02,0.019639579765356602,0.022833727839515996,0.0009096467746702917,0.0008025024187167395
14,0.06,SNLS,0.06031403674632901,0.07791062078804348,0.0013734172702537443,0.0012294865450748935,3.0,2.9973594354313993,2.9482791028397743,0.013964994419965095,0.013735315020192219,-0.1,-0.0988285413176587,-0.0866743791753508,0.002782413266981453,0.0024402256606103753,0.02,0.019913712977511627,0.024979340634925795,0.0009733508311085043,0.0008862796115907938
15,0.06,lowz,0.060702631688238334,0.06995385315626587,0.0023948978425558246,0.002220862488468889,3.0,3.002012755403766,3.062036800693688,0.03385927997269584,0.03248569064586229,-0.1,-0.09865689339591026,-0.047554607217972465,0.007374407864484341,0.003554612935694594,0.03,0.02944418280005534,0.0349118702194727,0.0018824647132913317,0.0018442254163519957
16,0.06,DES,0.05902765040169584,0.08516810927662602,0.002873400125140799,0.002446493673019261,3.0,2.999812231351636,2.944965511223304,0.028462387041085585,0.02801503334671866,-0.1,-0.10160938749801723,-0.07799571956201992,0.004676660424680714,0.0035898166145744625,0.03,0.029227233514358502,0.036251593156814144,0.0015466601803011864,0.0013317463849133715
17,0.06,PS1,0.060231254697432596,0.07235720475487302,0.001995333637719383,0.0019812734962402247,3.0,3.0012788560470107,2.946862620257452,0.020135721285541225,0.019996048385065916,-0.1,-0.09945104135279259,-0.08947853347718812,0.003552248968896937,0.0031960452496713684,0.03,0.030061027887080795,0.03220713916815023,0.0014967052671550393,0.0014090151875080508
18,0.06,SDSS,0.05984878912213224,0.06988643115757463,0.0019971379484246274,0.002018082478651752,3.0,3.003676074224316,2.9928780128551553,0.02260434268992663,0.022591483075761754,-0.1,-0.09931407194323084,-0.08020815365676516,0.0034793495867507097,0.002809996618071278,0.03,0.029521025319551517,0.03171892725112223,0.0011254629350028965,0.0010569201827306499
19,0.06,SNLS,0.059819991217588575,0.07759714635021309,0.0024131420643614815,0.0021963833409535793,3.0,2.992118112302187,2.9425341314351745,0.02463734830212972,0.024194916047146457,-0.1,-0.09984269142088038,-0.08756380675771192,0.004600037754720077,0.004034314492965095,0.03,0.029761263940387108,0.033440372492877575,0.0014536346191662331,0.0013539065853141157
20,0.06,lowz,0.06004801978630878,0.06933510235210641,0.003497590826820984,0.00344568711788921,3.0,3.001417560921009,3.061674281231713,0.039741928235147196,0.03733607067169626,-0.1,-0.09903932338630828,-0.04773894616648236,0.011457864107136728,0.005522920988295027,0.04,0.03921157073831652,0.04353648184754637,0.0024392515789931598,0.0022997518968288417
21,0.06,DES,0.05937329736223654,0.08476192438337157,0.0035332404778579064,0.0031807038912586745,3.0,2.9999355144895374,2.94666621377517,0.03323055877487894,0.03349452942536288,-0.1,-0.09868696645373486,-0.07575246150130838,0.0062558834915189395,0.00480203249335269,0.04,0.039579515056152266,0.04473555930853475,0.0022301890322146143,0.002085532683625162
22,0.06,PS1,0.06031917357481035,0.07250861639782913,0.002553007862289345,0.0026043108392769087,3.0,3.0003601831174382,2.9456590181230626,0.025689024100092148,0.0260977489738686,-0.1,-0.09997177759441853,-0.08994705260576151,0.005703818302990038,0.00513186478525207,0.04,0.04016061025969444,0.04180840693898658,0.0017880471950181532,0.001781945075149385
23,0.06,SDSS,0.059809089470116115,0.06993277402903146,0.0026338705624784358,0.002564991780941162,3.0,3.0035442192872917,2.992653597093656,0.031066162364112138,0.0312070310253793,-0.1,-0.10016539074271873,-0.08089569679894497,0.006341789325655103,0.005121763741364663,0.04,0.03951526414737319,0.04121631127483609,0.0018574323188007757,0.0018073321588123166
