,name,x1,c,mass,x1_err,c_err,mass_err,set
0,2004ef,-1.40758,0.089116,10.992,0.025395,0.0178695,0.049,lowz
1,2006et,0.7634,0.1458,10.945,0.0377284,0.0171307,3.211,lowz
2,2006ev,-1.30549,0.0885855,10.861,0.0497954,0.0206482,3.686,lowz
3,2006ef,-1.40195,-0.0268436,10.564,0.0660148,0.0212587,0.102,lowz
4,2005lu,0.9907,0.164,10.113,0.1168,0.0229128,4.474,lowz
5,2006ob,-2.07372,-0.0193286,11.742,0.0749476,0.019185,0.048,lowz
6,2008hv,-1.32541,-0.0761425,10.637,0.0315469,0.0168142,0.188,lowz
7,2005iq,-1.1011,-0.0949276,10.6001,0.0464372,0.0169138,0.2809,lowz
8,2007nq,-1.86501,-0.0389598,11.906,0.0552755,0.0185476,0.066,lowz
9,2005M,1.258,-0.015524,10.232,0.0359706,0.0193452,0.034,lowz
11,2007ca,0.5771,0.2283,9.506,0.0366099,0.0168178,4.356,lowz
12,2006hb,-2.23306,-0.00837038,10.913,0.0667984,0.0244939,2.886,lowz
13,2005ki,-1.50493,-0.0791302,10.939,0.0323757,0.0177585,0.185,lowz
14,2007A,0.4436,0.1113,10.832,0.1043,0.0182497,0.151,lowz
15,2005hc,0.7227,-0.0308167,10.61,0.0467804,0.0169143,0.161,lowz
16,2006kf,-2.08183,-0.0456078,10.984,0.0509436,0.0211938,0.449,lowz
17,2005eq,1.3445,0.00791823,10.956,0.0487242,0.0169932,0.478,lowz
18,2001ah,1.4195,-0.0314318,11.141,0.7534,0.0291854,0.02,lowz
19,2001az,1.0762,-0.0681408,11.376,0.4583,0.0287477,0.059,lowz
20,2001en,-1.12468,0.0547824,11.133,0.0816666,0.0276937,0.078,lowz
21,2001fe,0.6159,-0.0202614,10.277,0.0933891,0.0259899,0.095,lowz
22,2001G,0.214,-0.0299857,10.499,0.3008,0.0345007,0.048,lowz
24,2002bf,-2.29625,-0.0960311,10.741,0.3183,0.0937362,0.031,lowz
25,2002bz,-1.18007,-0.111829,10.984,0.2364,0.0463365,0.118,lowz
26,2002ck,0.1334,-0.0279269,10.976,0.0892391,0.0273944,0.143,lowz
27,2002de,0.4576,0.1147,10.661,0.3451,0.026787,0.154,lowz
28,2002dp,-0.279293,0.0954569,10.567,0.2288,0.0286665,0.486,lowz
29,2002G,-1.52225,0.2214,10.941,0.4325,0.0411583,0.021,lowz
30,2002ha,-1.37607,-0.0503572,11.072,0.0773618,0.0281634,0.452,lowz
31,2002hd,-0.455008,-0.0187258,11.878,0.2124,0.0300717,2.668,lowz
32,2002he,-1.83245,-0.0299968,10.867,0.1878,0.0334149,3.559,lowz
33,2002hu,0.3405,-0.0736621,10.099,0.0946241,0.0257505,4.71,lowz
34,2002jy,0.8655,-0.0176726,10.719,0.1067,0.0262313,0.415,lowz
35,2002kf,-1.15154,-0.0325489,9.574,0.0749908,0.0274699,4.611,lowz
36,2003ai,0.5396,0.0255082,8.132,0.2479,0.0455418,2.538,lowz
37,2003ch,-1.30446,-0.0158611,10.632,0.1585,0.0278986,3.794,lowz
38,2003fa,1.5117,-0.0310333,10.552,0.1002,0.0256943,4.257,lowz
39,2003ic,-1.75296,-0.0195594,11.905,0.2493,0.0376112,0.462,lowz
40,2003it,-1.59555,0.0457913,11.267,0.1669,0.0310282,0.026,lowz
41,2003iv,-2.10555,-0.0591412,10.816,0.1909,0.0311677,3.872,lowz
42,2003U,-2.13125,-0.0233119,10.654,0.3283,0.0333388,0.041,lowz
43,2004as,0.4069,0.0331216,9.371,0.1443,0.0279659,0.06,lowz
44,2005hf,-1.92773,-0.0644424,11.182,0.1963,0.0472869,0.017,lowz
45,2005lz,-1.38512,0.0812842,11.301,0.1368,0.029151,3.553,lowz
46,2005ms,0.4172,-0.030588,10.679,0.0801213,0.0262766,0.102,lowz
47,2006ac,-1.0304,0.0476424,10.984,0.0689878,0.0261775,0.098,lowz
48,2006ak,-1.26021,0.0292355,11.204,0.1433,0.0401319,0.058,lowz
49,2006al,-1.4016,-0.0915479,10.223,0.2941,0.0363641,0.01,lowz
50,2006bw,-1.94826,0.1347,10.36,0.1566,0.0522466,0.132,lowz
51,2006cp,0.3595,0.0813581,10.183,0.0801046,0.0272173,0.352,lowz
52,2006cq,-0.0825321,0.0150916,11.178,0.5226,0.029022,0.401,lowz
53,2006gr,0.8092,0.0945489,11.005,0.0720678,0.0263971,0.432,lowz
54,2006mo,-2.16742,0.0478167,11.022,0.1172,0.0305873,0.471,lowz
55,2006mp,0.9119,0.0254065,9.5,0.1532,0.0267751,4.853,lowz
56,2006N,-2.06218,-0.0256507,10.544,0.0655083,0.0269577,0.437,lowz
57,2006oa,1.2708,0.00903885,9.156,0.2487,0.028802,0.115,lowz
58,2006on,0.9575,0.1092,10.292,0.7431,0.045617,0.014,lowz
59,2006qo,0.3906,0.195,9.481,0.0629549,0.0269554,0.029,lowz
60,2006sr,-1.42483,0.010079,10.757,0.1175,0.0283909,0.05,lowz
61,2006td,-1.40706,0.1182,9.343,0.1115,0.0271806,4.691,lowz
62,2006te,-0.131635,-0.0555225,10.576,0.1043,0.0299883,0.076,lowz
63,2007ae,1.6351,0.00999916,11.047,0.2916,0.0309166,3.812,lowz
64,2007ap,-1.74053,-0.0618551,10.414,0.0749962,0.0298759,0.088,lowz
65,2007co,-0.220116,0.0829298,10.366,0.0647617,0.0263514,3.818,lowz
66,2007cq,-0.320022,-0.0222404,10.085,0.1398,0.026237,0.139,lowz
67,2007F,0.5366,-0.0398979,10.084,0.0424713,0.025665,0.473,lowz
68,2007O,-0.565812,-0.017638,10.988,0.1076,0.0295779,0.031,lowz
69,2007R,-1.49436,-0.0611937,11.181,0.1073,0.0314636,0.026,lowz
70,2008af,-1.56416,0.0147727,11.383,0.1411,0.0322404,0.436,lowz
71,2008bf,0.3072,-0.0208949,11.166,0.0716092,0.0259393,2.95,lowz
72,2008L,-1.68219,-0.0932866,10.672,0.1028,0.0338398,0.446,lowz
73,2007aj,-0.396829,-0.0574533,7.014,0.095475,0.0309706,0.26,lowz
74,2007fb,-1.56186,-0.0854027,10.272,0.204,0.030852,3.866,lowz
75,2007hu,-1.3273,0.2285,11.689,0.5239,0.0715528,0.026,lowz
76,2007is,-0.411216,0.037403,10.735,0.1839,0.0315026,0.067,lowz
77,2007kd,0.6588,0.1887,9.61,0.6125,0.0641873,0.294,lowz
78,2007kh,1.7403,0.062175,8.727,1.2547,0.0605592,0.063,lowz
79,2007kk,0.962,-0.0152389,11.33,0.1365,0.0291362,0.048,lowz
80,2007ob,-0.540853,0.2465,10.464,0.2631,0.037502,0.019,lowz
81,2007su,0.3119,0.2,9.126,0.3451,0.0339659,0.081,lowz
82,2007sw,0.309,0.0930425,10.425,0.128,0.0300994,0.131,lowz
83,2008Y,-0.607925,0.0867259,10.93,0.2619,0.0372253,0.072,lowz
84,2008Z,1.0209,0.119,9.178,0.0953629,0.0267847,0.31,lowz
85,2008ac,0.2116,-0.033341,9.84,0.5459,0.0482264,0.08,lowz
86,2008ar,0.0200947,-0.0336406,10.408,0.0707328,0.0263176,0.052,lowz
87,2008at,-1.54947,0.2474,11.459,0.1957,0.0501529,3.329,lowz
88,2008by,0.4777,-0.147934,8.568,0.3094,0.0351672,0.103,lowz
89,2008bz,0.0366942,-0.104966,11.031,0.3625,0.0357769,0.016,lowz
91,2008fr,0.5665,-0.0907132,8.896,0.1144,0.0281092,0.075,lowz
92,2008gb,0.1087,0.00528278,10.268,0.2713,0.0321652,4.495,lowz
93,2008gl,-1.45791,-0.0119109,11.125,0.0983897,0.0279201,0.432,lowz
94,2008hj,-0.0275483,-0.0482701,10.399,0.2997,0.0322024,0.155,lowz
95,2008hs,-2.41524,0.0353639,10.988,0.1112,0.0335963,3.101,lowz
96,2009D,0.4623,-0.0377637,10.285,0.1193,0.0287764,3.965,lowz
97,2009ad,0.1773,-0.0466019,11.016,0.0743076,0.0270395,3.5,lowz
98,2009ds,0.5124,-0.0246712,11.088,0.1346,0.030651,2.92,lowz
99,2009fv,-0.630164,0.2994,9.084,0.1506,0.0345184,0.838,lowz
102,2009kk,-1.29095,-0.0824827,10.249,0.0822418,0.0303832,3.442,lowz
103,2009kq,-0.0495093,0.000715092,10.186,0.1464,0.0303922,0.104,lowz
104,2009le,0.0385039,0.0481731,10.452,0.1224,0.0327025,3.416,lowz
105,2009na,-0.648471,-0.0144709,10.568,0.0988681,0.0281036,0.141,lowz
106,2009nq,-0.418906,0.0487826,10.667,0.768,0.0435823,0.513,lowz
107,2010A,0.5026,0.139,10.491,0.1286,0.0326606,0.105,lowz
108,2010H,-1.36239,-0.107579,11.084,0.1655,0.0434558,0.015,lowz
109,2010Y,-2.53078,-0.0317597,10.599,0.0852523,0.0314811,0.047,lowz
110,2010dt,-0.0520904,-0.0647749,10.874,0.4362,0.0414117,0.441,lowz
111,2004eo,-1.19696,0.0115647,10.982,0.0273815,0.0220037,0.253,lowz
112,2004ey,0.0764115,-0.111119,9.95,0.0246559,0.02172,0.154,lowz
113,2004gu,1.312,0.0763948,10.225,0.068063,0.0222909,0.159,lowz
114,2005be,-1.86606,-0.109219,10.31,0.0658959,0.0272047,0.2,lowz
115,2005bo,-1.11885,0.2331,10.3578,0.1447,0.0229634,0.2809,lowz
116,2006bh,-1.6912,-0.0602213,10.915,0.0389833,0.0222653,0.352,lowz
117,2006eq,-2.01821,0.0714152,10.634,0.0731569,0.0289587,0.5,lowz
118,2006lu,0.267,-0.103407,11.235,0.0782325,0.0239625,0.057,lowz
119,2006py,0.108,0.0204276,9.9,0.2325,0.0238455,0.4,lowz
120,2008bq,0.3551,0.0560427,11.471,0.0522091,0.0223182,3.062,lowz
121,2008gp,-0.111069,-0.0721577,10.663,0.0323462,0.0221669,3.998,lowz
0,1248677,1.0022,-0.110622,9.845,0.1137,0.0219627,0.014,DES
1,1250017,0.9524,-0.0923231,8.797,0.155,0.0261938,0.038,DES
2,1253039,0.3513,-0.0968782,10.795,0.2695,0.0276632,0.1395,DES
3,1253101,1.4335,0.0135675,8.526,0.3766,0.032692,0.194,DES
4,1253920,-0.733173,-0.0843909,9.234,0.1382,0.0277645,0.033,DES
5,1255502,1.11,-0.0598933,10.454,0.2981,0.0457069,0.091,DES
6,1257366,-0.190109,0.116,10.965,0.485,0.0405422,0.134,DES
7,1257695,0.3459,-0.115695,9.854,0.0927815,0.0252752,0.0545,DES
8,1258906,-0.015955,0.00254507,9.195,0.3144,0.035642,0.017,DES
9,1258940,-0.10944,-0.105925,11.223,0.3915,0.0374919,0.146,DES
10,1259412,0.8493,-0.0397447,10.514,0.1479,0.0271899,0.0055,DES
11,1261579,-0.166532,-0.00563534,11.163,0.1177,0.0234028,0.072,DES
12,1262214,0.1646,-0.111424,8.864,0.2601,0.0397777,0.0575,DES
13,1262715,0.8929,-0.0514321,11.052,0.316,0.0310535,0.3255,DES
14,1263369,0.1645,-0.0888856,10.845,0.2709,0.0308264,0.085,DES
15,1263715,0.4141,-0.0597723,8.977,0.2801,0.0316807,0.106,DES
16,1275946,1.6698,-0.058764,8.458,0.1719,0.0265796,0.4345,DES
17,1279500,0.6875,-0.0269418,9.699,0.1668,0.0251377,0.0695,DES
18,1280217,1.9604,0.0874084,8.92,0.6078,0.0345989,0.1485,DES
19,1281668,0.1315,-0.111848,10.251,0.2761,0.0314146,0.0185,DES
20,1281886,1.1866,-0.0395397,9.727,0.4258,0.0406761,0.1685,DES
21,1282736,-0.77439,0.0941145,10.603,0.4262,0.0438108,0.0155,DES
22,1283373,-1.07014,-0.0471596,10.231,0.2622,0.0330783,0.0175,DES
23,1283878,-0.833104,-0.0142642,11.409,0.4816,0.04869,0.1955,DES
24,1283936,0.044237,0.1884,9.65,0.6109,0.0591548,0.0185,DES
25,1285160,-0.369158,-0.17529,7.978,0.2807,0.048014,0.345,DES
26,1285317,0.0374651,-0.0622008,8.739,0.5562,0.0415726,0.166,DES
27,1286398,-1.83747,-0.041718,10.363,0.2251,0.0425642,0.019,DES
28,1287626,0.0399898,-0.001172,8.203,0.4228,0.0308142,0.226,DES
29,1289288,-1.09656,0.0932964,10.645,0.5175,0.0454088,0.0235,DES
30,1289555,0.3556,-0.128795,9.278,0.5204,0.0452896,0.1075,DES
31,1289600,1.2862,0.0432458,9.712,0.2729,0.0275704,0.051,DES
32,1289656,-0.03267,-0.038433,8.727,0.5743,0.0495376,0.1705,DES
35,1290816,1.37,0.0101034,8.859,0.2563,0.0271316,0.009,DES
36,1291080,-1.56827,0.0155586,8.582,0.6827,0.0464985,0.172,DES
37,1291090,1.2385,-0.0821967,9.711,0.2312,0.0321417,0.0445,DES
38,1291794,0.1329,-0.00477328,10.935,0.4846,0.0377036,0.035,DES
40,1292145,0.7106,0.1166,9.218,0.6846,0.0599634,0.3125,DES
41,1292195,-0.0143298,-0.0240346,8.951,0.4175,0.0618147,0.2375,DES
42,1292332,0.2718,-0.106788,10.269,0.2468,0.0353498,0.1885,DES
43,1292336,-0.149005,0.0527698,9.099,0.2417,0.0331986,0.015,DES
44,1292560,0.3074,-0.114917,8.646,0.1602,0.0278229,0.106,DES
45,1293319,1.7503,-0.000950853,9.229,0.2853,0.0313035,0.016,DES
46,1293758,-1.31159,-0.0260347,10.969,0.1778,0.0392836,0.007,DES
47,1294014,0.5205,-0.0518439,9.451,0.3936,0.0416019,0.622,DES
48,1294743,-0.388197,0.2089,10.263,0.3994,0.039043,0.0945,DES
49,1295027,-0.15601,-0.0311742,10.091,0.5082,0.049293,0.0245,DES
50,1295256,-0.0540284,-0.0923924,8.803,0.3728,0.027338,0.3025,DES
51,1295305,0.0913105,-0.0609324,8.711,0.3384,0.0314623,0.1325,DES
52,1295921,0.9398,0.0790744,9.097,0.9685,0.0690527,0.298,DES
53,1296273,-0.224584,-0.111298,8.564,0.2605,0.0274737,0.44,DES
54,1296321,0.4738,0.084237,9.384,0.2039,0.028204,0.0035,DES
55,1296657,0.8815,0.0185943,9.476,0.385,0.0426387,0.0095,DES
56,1297026,-0.713128,-0.0415513,10.607,0.209,0.0307076,0.163,DES
57,1297465,1.1643,0.0415137,10.068,0.1356,0.0268685,0.001,DES
58,1298281,-1.56047,0.0555528,9.297,0.2294,0.0309272,0.0785,DES
59,1298893,-2.23751,-0.0280742,10.784,0.7837,0.1204,0.1435,DES
60,1299643,0.6857,-0.0899056,9.253,0.2634,0.0289616,0.028,DES
61,1299775,-0.412536,0.1848,10.783,0.1964,0.037261,0.134,DES
62,1299785,0.0028449,0.049761,10.185,0.4218,0.0410501,0.0105,DES
63,1300516,0.9084,0.1594,9.557,0.2901,0.0335439,0.0975,DES
64,1300912,-0.477849,0.0452176,9.744,0.1466,0.0255492,0.0145,DES
65,1301933,-0.217035,-0.12803,10.006,0.0899569,0.0221188,0.0995,DES
66,1302058,0.3777,-0.000860242,9.664,0.1296,0.0270532,0.039,DES
67,1302141,-0.0860256,0.0421593,9.429,0.6613,0.0639493,1.76,DES
68,1302187,-0.885027,0.04091,10.95,0.3403,0.0381394,0.873,DES
69,1302523,0.232,-0.022097,10.498,0.2709,0.0280122,0.0245,DES
70,1302648,-0.714834,0.1141,10.131,0.2247,0.0304358,0.013,DES
71,1303004,0.8519,-0.0510343,9.369,0.1645,0.0274816,0.2945,DES
72,1303279,1.1414,-0.062747,10.617,0.3571,0.0330808,0.125,DES
73,1303496,-0.30887,0.0679264,10.643,0.3644,0.0330486,0.1955,DES
74,1303883,0.5881,-0.0365376,10.894,0.2188,0.0307385,0.014,DES
75,1303952,0.5824,-0.19342,11.137,0.5797,0.044198,0.1215,DES
76,1304127,0.538,-0.243668,9.315,0.7809,0.0713148,0.7895,DES
77,1304442,0.259,-0.0707099,9.568,0.3019,0.0355842,0.0135,DES
78,1304678,-1.43378,-0.0461967,11.23,0.6476,0.0889411,0.0265,DES
79,1305504,-0.437285,-0.0842412,10.953,0.1639,0.0250102,0.0735,DES
80,1305626,-0.295547,-0.107764,9.283,0.1005,0.0227104,0.032,DES
82,1306073,-1.30489,-0.036721,10.4,0.2011,0.0296525,0.151,DES
83,1306141,-0.134363,-0.0722371,9.678,0.2219,0.02788,0.075,DES
84,1306360,-0.65159,0.00421934,10.646,0.7254,0.0511901,0.274,DES
85,1306390,0.0431502,0.1667,10.29,1.0415,0.0661944,0.073,DES
86,1306537,1.2314,-0.0773276,9.666,0.5108,0.0361245,0.2915,DES
87,1306626,0.2241,-0.0777843,9.031,0.3671,0.0304204,0.0555,DES
88,1306785,-1.21973,-0.013885,10.989,1.2562,0.0612069,0.0835,DES
89,1306980,-1.13876,0.0499708,10.095,0.8159,0.0654992,0.017,DES
90,1306991,-0.401683,-0.0475181,10.919,0.7362,0.0590605,0.0015,DES
91,1307277,-0.391529,0.0584071,10.612,0.8347,0.0575496,0.013,DES
92,1307830,-1.84149,-0.0847492,10.399,0.207,0.0299318,0.063,DES
93,1308314,0.0259775,-0.0513446,7.522,0.2781,0.0284112,0.1385,DES
94,1308326,0.4521,-0.117778,9.665,0.2076,0.0265255,0.015,DES
